ID,Park,State,Year,Month,Recreation_ Visitors,Non_Recreation_Visitors,Recreation_Visitor_Hours,Non_Recreation_Hours,Concession_Lodging,Tent_Campers,RV_Campers,Backcountry_Campers,Misc_Campers,Total_Overnight_Stays
245,Great Sand Dunes NP & PRES,CO,2019,May,"68,473",45,"431,309",45,0,"4,333","3,901",847,"1,344","10,424"
246,Great Sand Dunes NP & PRES,CO,2019,June,"122,086",45,"577,481",45,0,"5,072","3,432","1,378","1,902","11,784"
247,Great Sand Dunes NP & PRES,CO,2019,July,"103,293",45,"496,618",45,0,"5,643","3,043",699,815,"10,200"
248,Great Sand Dunes NP & PRES,CO,2019,August,"81,085",45,"473,547",45,0,"5,834","2,960",715,"1,444","10,954"
249,Great Sand Dunes NP & PRES,CO,2019,September,"52,946",45,"390,775",45,0,"4,501","4,023",479,"1,015","10,018"
250,Great Sand Dunes NP & PRES,CO,2019,October,"32,180",35,"141,686",35,0,"2,023","2,624",236,733,"5,615"
251,Great Sand Dunes NP & PRES,CO,2019,November,"8,606",35,"17,710",35,0,0,0,38,0,38
252,Great Sand Dunes NP & PRES,CO,2019,December,"4,595",35,"9,438",35,0,0,0,18,0,18
253,Great Sand Dunes NP & PRES,CO,2020,January,"5,232",35,"10,672",35,0,0,0,15,0,15
254,Great Sand Dunes NP & PRES,CO,2020,February,"5,820",35,"11,944",35,0,0,0,22,0,22
255,Great Sand Dunes NP & PRES,CO,2020,March,"19,560",35,"40,598",35,0,0,0,108,0,108
256,Great Sand Dunes NP & PRES,CO,2020,April,"5,227",35,"11,683",35,0,0,0,99,0,99
257,Great Sand Dunes NP & PRES,CO,2020,May,0,45,0,45,0,0,0,0,0,0
258,Great Sand Dunes NP & PRES,CO,2020,June,"78,191",45,"283,629",45,0,"2,472","1,508",512,0,"4,492"
259,Great Sand Dunes NP & PRES,CO,2020,July,"102,800",45,"484,740",45,0,"6,016","2,788","1,035",0,"9,839"
260,Great Sand Dunes NP & PRES,CO,2020,August,"97,370",45,"479,240",45,0,"6,154","2,640","1,257",0,"10,052"
261,Great Sand Dunes NP & PRES,CO,2020,September,"66,495",45,"317,343",45,0,"3,359","2,234",922,0,"6,516"
262,Great Sand Dunes NP & PRES,CO,2020,October,"53,468",35,"218,097",35,0,"3,782","3,755",550,0,"8,087"
263,Great Sand Dunes NP & PRES,CO,2020,November,"17,734",35,"38,172",35,0,0,0,210,0,210
264,Great Sand Dunes NP & PRES,CO,2020,December,"9,635",35,"21,754",35,0,0,0,180,0,180
265,Mesa Verde NP,CO,2010,January,"4,212",206,"18,953",206,0,0,0,0,0,0
266,Mesa Verde NP,CO,2010,February,"4,549",300,"20,469",300,0,0,0,0,0,0
267,Mesa Verde NP,CO,2010,March,"12,112",684,"54,503",684,0,0,0,0,0,0
268,Mesa Verde NP,CO,2010,April,"26,390",594,"135,763",594,945,0,0,0,0,945
269,Mesa Verde NP,CO,2010,May,"54,833","1,403","484,122","1,403","6,520","3,153","3,450",0,65,"13,188"
270,Mesa Verde NP,CO,2010,June,"111,802",929,"858,751",929,"8,913","5,393","5,383",0,70,"19,759"
271,Mesa Verde NP,CO,2010,July,"116,017",581,"920,642",581,"10,525","6,928","4,645",0,45,"22,143"
